FID,OBJECTID,NAME,TYPE,SHAPE_Leng,SHAPE_Area,Comment
0,1,Nantes,Bishopric,761926.608834999960000,16700849410.200001000000000, 
1,2,Vannes,Bishopric,1231212.080499999900000,12325695714.400000000000000, 
2,3,Quimper,Bishopric,1146572.904450000000000,13811452315.299999000000000, 
3,4,St-Pol-de-Leon,Bishopric,486352.618788999970000,4522382596.140000300000000, 
4,5,Treguier,Bishopric,452136.422696000020000,5195197657.720000300000000, 
5,6,St-Brieuc,Bishopric,516472.268823000020000,6161539899.619999900000000, 
6,7,Alet,Bishopric,695931.510197000000000,8587176205.010000200000000, 
7,8,Dol,Archbishopric (Disputed),216927.045997000010000,1710128270.890000100000000,"Dol claimed archdiocesan status over Breton-speaking dioceses with limited success: see for more details on this and its enclaves Parisse and Leuridan 1994, 26-27"
8,9,Rennes,Bishopric,493540.879978000010000,9212253421.829999900000000, 
9,10,Poitiers,Bishopric,1326734.919920000000000,44990287373.099998000000000, 
10,11,Saintes,Bishopric,1042302.726210000000000,17897048109.500000000000000, 
11,12,Angouleme,Bishopric,352137.393143000020000,5400134779.540000000000000, 
12,13,Perigueux,Bishopric,700401.984500000020000,17342790620.299999000000000, 
13,14,Bordeaux,Archbishopric,1079816.727960000000000,17545145951.799999000000000, 
14,15,Agen,Bishopric,651492.051030999980000,11293836639.799999000000000, 
15,16,Auch,Archbishopric,676199.880119999990000,12015497622.299999000000000, 
16,17,Comminges,Bishopric,464257.511420000000000,7051482789.840000200000000, 
17,18,Gascogne,Bishopric,1152719.664099999900000,34523657439.599998000000000, 
18,19,Tarbes,Bishopric,421807.563200999980000,5886581761.430000300000000, 
19,20,St-Lizier,Bishopric,253227.184283999990000,2908174827.949999800000000, 
20,21,Roda,Bishopric,483603.763339000000000,10539041960.700001000000000, 
21,22,Urgell,Bishopric,499014.982689999980000,12531097774.900000000000000, 
22,23,Vic,Bishopric,452393.776449000000000,7098796643.100000400000000, 
23,24,Barcelona,Bishopric,365697.720280000010000,5744723516.939999600000000, 
24,25,Girona,Bishopric,607281.683747999950000,9107291881.040000900000000, 
25,26,Elne,Bishopric,378221.009949000030000,5279641757.029999700000000, 
26,27,Toulouse,Bishopric,828379.406460999980000,22218019105.900002000000000, 
27,28,Carcassonne,Bishopric,247279.805423000010000,2453224412.170000100000000, 
28,29,Narbonne,Archbishopric,742103.768349000020000,12066463336.799999000000000, 
29,30,Beziers,Bishopric,292784.432088000000000,2926628991.150000100000000, 
30,31,Agde,Bishopric,145122.892579000010000,1110868555.950000000000000, 
31,32,Lodeve,Bishopric,213466.316224000010000,2087127199.450000000000000, 
32,33,Maguelone,Bishopric,260165.345417000000000,3308882242.889999900000000, 
33,34,Nimes,Bishopric,584310.186477000010000,6419990975.369999900000000, 
34,35,Arles,Archbishopric,607191.877452000040000,4285720910.670000100000000, 
35,36,Albi,Bishopric,492448.764028000010000,8197562078.090000200000000, 
36,37,Cahors,Bishopric,643438.971065000050000,13667320594.900000000000000, 
37,38,Rodez,Bishopric,690575.424114999940000,16567390337.500000000000000, 
